flight_number,launch_year,launch_date,launch_success,times_flown,payload_mass,periapsis,apoapsis,inclination,orbital_period,reused,landing_intent,land_success,site_name





6,2010,2010-06-04T18:45:00.000Z,True,1,None,235.945,276.701,34.5005,89.632,False,False,None,Cape Canaveral Air Force Station Space Launch Complex 40
7,2010,2010-12-08T15:43:00.000Z,True,1,None,279.375,308.481,34.5447,90.396,False,False,None,Cape Canaveral Air Force Station Space Launch Complex 40
8,2012,2012-05-22T07:44:00.000Z,True,1,525,294.646,372.452,51.6726,91.202,False,False,None,Cape Canaveral Air Force Station Space Launch Complex 40
9,2012,2012-10-08T00:35:00.000Z,True,1,400,203.764,326.293,51.6539,89.809,False,False,None,Cape Canaveral Air Force Station Space Launch Complex 40
10,2013,2013-03-01T19:10:00.000Z,True,1,677,203.274,322.036,51.6797,89.761,False,False,None,Cape Canaveral Air Force Station Space Launch Complex 40
11,2013,2013-09-29T16:00:00.000Z,True,1,500,320.752,1273.913,80.9702,100.817,False,True,False,Vandenberg Air Force Base Space Launch Complex 4E
12,2013,2013-12-03T22:41:00.000Z,True,1,3170,35780.384,35793.742,0.0096,1436.12,False,False,None,Cape Canaveral Air Force Station Space Launch Complex 40
13,2014,2014-01-06T18:06:00.000Z,True,1,3325,35771.337,35801.19,0.0882,1436.079,False,False,None,Cape Canaveral Air Force Station Space Launch Complex 40
14,2014,2014-04-18T19:25:00.000Z,True,1,2296,313.486,332.006,51.6429,90.982,False,True,True,Cape Canaveral Air Force Station Space Launch Complex 40
15,2014,2014-07-14T15:15:00.000Z,True,1,1316,202.633,323.117,51.6528,89.765,False,True,True,Cape Canaveral Air Force Station Space Launch Complex 40
16,2014,2014-08-05T08:00:00.000Z,True,1,4535,35777.469,35796.207,0.0065,1436.109,False,False,None,Cape Canaveral Air Force Station Space Launch Complex 40
17,2014,2014-09-07T05:00:00.000Z,True,1,4428,35784.067,35789.447,0.0184,1436.105,False,False,None,Cape Canaveral Air Force Station Space Launch Complex 40
18,2014,2014-09-21T05:52:00.000Z,True,1,2216,203.334,354.971,51.6518,90.095,False,True,False,Cape Canaveral Air Force Station Space Launch Complex 40
19,2015,2015-01-10T09:47:00.000Z,True,1,2395,206.049,351.484,51.6369,90.088,False,True,False,Cape Canaveral Air Force Station Space Launch Complex 40
20,2015,2015-02-11T23:03:00.000Z,True,1,570,None,None,None,None,False,True,True,Cape Canaveral Air Force Station Space Launch Complex 40
21,2015,2015-03-02T03:50:00.000Z,True,1,1954,35777.084,35795.974,0.0101,1436.093,False,False,None,Cape Canaveral Air Force Station Space Launch Complex 40
22,2015,2015-04-14T20:10:00.000Z,True,1,1898,205.548,360.711,51.6488,90.176,False,True,False,Cape Canaveral Air Force Station Space Launch Complex 40
23,2015,2015-04-27T23:03:00.000Z,True,1,4707,35774.791,35797.256,0.0066,1436.067,False,False,None,Cape Canaveral Air Force Station Space Launch Complex 40
24,2015,2015-06-28T14:21:00.000Z,False,1,2477,None,None,51.6,None,False,True,None,Cape Canaveral Air Force Station Space Launch Complex 40
25,2015,2015-12-22T01:29:00.000Z,True,1,2034,708.321,711.903,47.0064,98.984,False,True,True,Cape Canaveral Air Force Station Space Launch Complex 40
